trackTargetTrigger groupIndex triggerTime triggerWord
11 134 1759437309946613768 46
11 134 1759437309946616048 11
11 135 1759437312063824832 19
11 135 1759437312063824840 12
11 135 1759437312063824856 15
11 135 1759437312063824888 46
11 135 1759437312063827168 11
11 136 1759437314098684520 19
11 136 1759437314098684528 12
11 136 1759437314098684544 15
11 136 1759437314098684576 46
11 136 1759437314098686856 11
11 137 1759437317655234488 19
11 137 1759437317655234496 12
11 137 1759437317655234512 15
11 137 1759437317655234544 46
11 137 1759437317655236824 11
11 138 1759437320218001904 19
11 138 1759437320218001912 12
11 138 1759437320218001928 15
11 138 1759437320218001960 46
11 138 1759437320218004240 11
11 139 1759437322584912472 19
11 139 1759437322584912480 12
11 139 1759437322584912496 15
11 139 1759437322584912528 46
11 139 1759437322584914808 11
11 140 1759437325685333944 19
11 140 1759437325685333952 12
11 140 1759437325685333968 15
11 140 1759437325685334000 46
11 140 1759437325685336280 11
11 141 1759437327929419424 19
11 141 1759437327929419432 12
11 141 1759437327929419448 15
11 141 1759437327929419480 46
11 141 1759437327929421760 11
11 142 1759437331274438336 19
11 142 1759437331274438344 12
11 142 1759437331274438360 15
11 142 1759437331274438392 46
11 142 1759437331274440672 11
11 143 1759437333585771368 19
11 143 1759437333585771376 12
11 143 1759437333585771392 15
11 143 1759437333585771424 46
11 143 1759437333585773704 11
11 144 1759437338998279224 19
11 144 1759437338998279232 12
11 144 1759437338998279248 15
11 144 1759437338998279280 46
11 144 1759437338998281560 11
11 145 1759437343569106136 19
11 145 1759437343569106144 12
11 145 1759437343569106160 15
11 145 1759437343569106192 46
11 145 1759437343569108472 11
11 146 1759437346228005048 19
11 146 1759437346228005056 12
11 146 1759437346228005072 15
11 146 1759437346228005104 46
11 146 1759437346228007384 11
11 147 1759437348507440496 19
11 147 1759437348507440504 12
11 147 1759437348507440520 15
11 147 1759437348507440552 46
11 147 1759437348507442832 11
11 148 1759437351564986752 19
11 148 1759437351564986760 12
11 148 1759437351564986776 15
11 148 1759437351564986808 46
11 148 1759437351564989088 11
11 149 1759437354084841992 19
11 149 1759437354084842000 12
11 149 1759437354084842016 15
11 149 1759437354084842048 46
11 149 1759437354084844328 11
11 150 1759437359413987888 19
11 150 1759437359413987896 12
11 150 1759437359413987912 15
11 150 1759437359413987944 46
11 150 1759437359413990224 11
11 151 1759437363777234328 19
11 151 1759437363777234336 12
11 151 1759437363777234352 15
11 151 1759437363777234384 46
11 151 1759437363777236664 11
11 152 1759437366248199032 19
11 152 1759437366248199040 12
11 152 1759437366248199056 15
11 152 1759437366248199088 46
11 152 1759437366248201368 11
11 153 1759437369873593656 19
11 153 1759437369873593664 12
11 153 1759437369873593680 15
11 153 1759437369873593712 46
11 153 1759437369873595992 11
11 154 1759437374032154544 19
11 154 1759437374032154552 12
11 154 1759437374032154568 15
11 154 1759437374032154600 46
11 154 1759437374032156880 11
11 155 1759437376344821816 19
11 155 1759437376344821824 12
11 155 1759437376344821840 15
11 155 1759437376344821872 46
11 155 1759437376344824152 11
11 156 1759437378572317000 19
11 156 1759437378572317008 12
11 156 1759437378572317024 15
11 156 1759437378572317056 46
11 156 1759437378572319336 11
11 157 1759437381727507480 19
11 157 1759437381727507488 12
11 157 1759437381727507504 15
11 157 1759437381727507536 46
11 157 1759437381727509816 11
11 158 1759437384277351120 19
11 158 1759437384277351128 12
11 158 1759437384277351144 15
11 158 1759437384277351176 46
11 158 1759437384277353456 11
11 159 1759437388383603400 19
11 159 1759437388383603408 12
11 159 1759437388383603424 15
